framework,pde,model,setting,size,split,mean_relative_error,std_relative_error,predict_time_seconds,n_eval,ood_file,n_train,n_params,train_time_seconds,epochs,lr,batch_size,num_trunk,num_branch,num_leaf
Framework2,Nonlinear_Klein_Gordon,mno,MNO,medium,ood,0.3373550474643707,0.113545224070549,0.372831491753459,4000,ood_init_amp.h5,10000,1199010,275.5599677395076,200,0.001,64,20,20,10.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,medium,ood,0.2964912056922912,0.2283496856689453,0.3731727804988622,4000,ood_par.h5,10000,1199010,275.5599677395076,200,0.001,64,20,20,10.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,medium,ood,0.198789045214653,0.1722643226385116,0.3730370867997408,4000,ood_par_init_GP.h5,10000,1199010,275.5599677395076,200,0.001,64,20,20,10.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,medium,ood,0.4414054155349731,0.1352033913135528,0.3722470626235008,4000,ood_par_init_amp.h5,10000,1199010,275.5599677395076,200,0.001,64,20,20,10.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,large,test,0.0284518599510192,0.0069940718822181,0.378746710717678,4000,,10000,16677640,282.4098719414324,200,0.001,64,20,100,40.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,large,ood,0.1894067972898483,0.2061100453138351,0.382269399240613,4000,ood.h5,10000,16677640,282.4098719414324,200,0.001,64,20,100,40.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,large,ood,0.0397668406367301,0.0169102754443883,0.3793693501502275,4000,ood_init_GP.h5,10000,16677640,282.4098719414324,200,0.001,64,20,100,40.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,large,ood,0.324966698884964,0.1259947568178177,0.3778898827731609,4000,ood_init_amp.h5,10000,16677640,282.4098719414324,200,0.001,64,20,100,40.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,large,ood,0.1894067972898483,0.2061100453138351,0.3781647998839617,4000,ood_par.h5,10000,16677640,282.4098719414324,200,0.001,64,20,100,40.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,large,ood,0.1028571799397468,0.0900493189692497,0.3781163673847914,4000,ood_par_init_GP.h5,10000,16677640,282.4098719414324,200,0.001,64,20,100,40.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,large,ood,0.379271924495697,0.1255416721105575,0.378695210441947,4000,ood_par_init_amp.h5,10000,16677640,282.4098719414324,200,0.001,64,20,100,40.0
Framework2,Param_DiffReac,mionet,MIONet,small,test,0.0912713482975959,0.026787145063281,0.3355380725115537,4000,,10000,319101,246.79195775277915,200,0.001,64,50,50,
Framework2,Param_DiffReac,mionet,MIONet,small,ood,0.5437716245651245,0.1966932564973831,0.338056905195117,4000,ood_init.h5,10000,319101,246.79195775277915,200,0.001,64,50,50,
Framework2,Param_DiffReac,mionet,MIONet,small,ood,0.5378836393356323,0.1972472667694091,0.3346952199935913,4000,ood_par_init.h5,10000,319101,246.79195775277915,200,0.001,64,50,50,
Framework2,Param_DiffReac,mionet,MIONet,small,ood,0.1948291659355163,0.0554931126534938,0.334902549162507,4000,ood_par_kernel.h5,10000,319101,246.79195775277915,200,0.001,64,50,50,
